"filename","interval_label","start","end","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","cluster"
"A10","A10_hlh",1,2,-0.272388239,-0.198527713,-0.162406844,-0.123306715,-0.024344577,0.149319054,0.388855478,0.686741281,0.973215576,1.183129315,1.310575986,1.346141675,1.268325512,1.044472599,0.715239231,0.374637232,0.071207353,-0.189161229,-0.390349325,-0.53168104,-0.632914961,-0.706963649,-0.758174867,-0.78251867,-0.787902253,-0.786606358,-0.799904166,-0.825767498,-0.861054845,-0.922372242,2
"A10","A10_hll",1,2,-0.410918545,-0.303213965,-0.290792032,-0.286492535,-0.258619763,-0.190499693,-0.015894363,0.235685153,0.504565978,0.760993391,0.996527282,1.186738698,1.260176823,1.190066162,0.976066397,0.6528714,0.305872845,-0.003879762,-0.285745165,-0.545221759,-0.746677794,-0.902569473,-1.036089267,-1.149549514,-1.220920467,-1.242715607,-1.252649022,-1.2867116,-1.345339518,-1.41199874,2
"A10","A10_lhh",1,2,-0.320388398,-0.397732757,-0.468564035,-0.542135838,-0.610014059,-0.704918644,-0.781938118,-0.843525953,-0.898126631,-0.934249289,-0.923324022,-0.862702954,-0.767496862,-0.656810826,-0.52245275,-0.377309964,-0.203528819,0.009946919,0.243263961,0.500834252,0.739870805,0.977510314,1.243401389,1.507078012,1.737491898,1.948448176,2.132693787,2.259040809,2.34526297,2.398148647,5
"A10","A10_lhl",1,2,-0.460564082,-0.533830261,-0.680494295,-0.859195114,-0.952416833,-0.988905135,-0.980999512,-0.961253316,-0.920332549,-0.895348104,-0.860865612,-0.808781322,-0.716574318,-0.597256181,-0.502639243,-0.424478044,-0.333735329,-0.228308236,-0.134986926,-0.07124909,-0.026098398,0.005751148,0.027539659,0.043917747,0.062972233,0.077444642,0.079175877,0.079698662,0.100103966,0.196296889,3
"A10","A10_llh",1,2,-0.349035506,-0.335231491,-0.389405156,-0.470706234,-0.612810797,-0.750836348,-0.819885864,-0.869458225,-0.921294245,-0.948763803,-0.94508751,-0.920018895,-0.868099133,-0.805682099,-0.741190599,-0.671631889,-0.586859952,-0.472814022,-0.343187489,-0.222175002,-0.114244292,-0.01144917,0.101930136,0.224813888,0.344522184,0.462679519,0.563434546,0.63882422,0.681602699,0.708645558,3
"A10","A10_lll",1,2,-0.327059828,-0.375033448,-0.468186044,-0.542109261,-0.522218298,-0.501905598,-0.51808826,-0.574558224,-0.646808855,-0.737332986,-0.805453736,-0.833943392,-0.859377219,-0.89795446,-0.952854465,-0.999449773,-1.040801762,-1.077893409,-1.108201153,-1.131513453,-1.162116885,-1.191826959,-1.215044418,-1.222476242,-1.219543129,-1.218414411,-1.238763619,-1.304413677,-1.390395299,-1.46343685,4
"A11","A11_hhh",1,2,-0.721343941,-0.713872978,-0.701547149,-0.710846442,-0.775741526,-0.859213307,-0.882947189,-0.81166826,-0.652155871,-0.442266876,-0.191084058,0.121474973,0.469138331,0.788744865,1.103114576,1.381375996,1.597976273,1.791786442,1.992377796,2.159995196,2.291127204,2.379370999,2.435755692,2.487227627,2.528408298,2.53079941,2.507568352,2.50068113,2.511530098,2.493994914,5
"A11","A11_hhl",1,2,-0.878205783,-0.840029617,-0.839540949,-0.864684209,-0.867801226,-0.872404043,-0.856773629,-0.812149841,-0.73899342,-0.663495241,-0.548829005,-0.359852631,-0.120544141,0.12268468,0.3509288,0.531618632,0.708144225,0.897839148,1.068710878,1.185273147,1.250184548,1.265018874,1.260444983,1.257095426,1.246418677,1.233318522,1.233514851,1.234070726,1.242403292,1.270647256,5
"A11","A11_hlh",1,2,-0.62743208,-0.779204916,-0.826879728,-0.770423698,-0.687374856,-0.590105293,-0.462507914,-0.334613796,-0.19219335,-0.028993868,0.085827374,0.07248493,0.003272575,-0.067591483,-0.15302852,-0.240904249,-0.24950728,-0.241889865,-0.327833979,-0.493171486,-0.622575964,-0.647642104,-0.576236384,-0.465701193,-0.369992177,-0.30312584,-0.269369414,-0.2476303,-0.221021826,-0.243843417,3
"A11","A11_hll",1,2,0.143264576,0.132036866,0.099848429,0.058521722,0.040110329,0.036477986,0.045785539,0.074559301,0.113947172,0.163576021,0.170814491,0.123095318,0.053621191,-0.050539199,-0.171688557,-0.268905751,-0.354780622,-0.462279885,-0.626715447,-0.814616096,-0.954045232,-1.038357372,-1.069906631,-1.045375208,-1.025355618,-1.032671506,-1.100115569,-1.212230033,-1.331705328,-1.43364662,2
